Date,Days since collection,Site,Temperature treatment,pH treatment,Actual temperature experiment tank,Actual pH experiment tank,Actual temperature PAM tank,Actual pH PAM tank,Replicate,Respirometry channel,Respiration rate,Gross photosynthesis,Net photosynthesis,Alpha,rETRmax,Ik,Fv/Fm,NPQ630,Comments
8/16/22,2,Elliott Bay,5,7.7,7.1,7.69342866,8.1,7.662992879,6,9,-0.272658936,6.917731134,7.19039007,0.297,13.083,44.006,0.769,0.486,
6/25/22,3,Elliott Bay,5,8,7.4,8.031379396,7.4,7.98671916,1,2,-0.277778574,4.166091414,4.44387,0.308,28.106,91.26,0.771,0.08,
6/25/22,3,Elliott Bay,5,8,7.4,8.031379396,7.4,7.98671916,2,4,-0.263716214,3.153987594,3.417704,0.31,27.94,90.201,0.789,0.686,
6/25/22,3,Elliott Bay,5,8,7.4,8.031379396,7.4,7.98671916,3,5,-0.195849935,3.859026595,4.054877,0.306,45.935,149.964,0.843,0.058,
6/25/22,3,Elliott Bay,5,8,7.4,8.031379396,7.4,7.98671916,4,7,-0.262444188,4.729583752,4.992028,0.277,36.391,131.425,0.78,1.063,
6/25/22,3,Elliott Bay,5,8,7.4,8.031379396,7.4,7.98671916,5,8,-0.182760019,4.617414462,4.800174,0.32,28.073,87.593,0.795,0.346,
6/25/22,3,Elliott Bay,5,8,7.4,8.031379396,7.4,7.98671916,6,9,-0.364873674,4.083200786,4.448074,0.232,26.202,112.847,0.782,0.354,
6/24/22,2,Elliott Bay,10,7.4,9.75,7.195298675,11.1,7.178402754,1,2,-0.289780077,5.815521025,6.105301,0.267,18.071,67.696,0.753,0.24,
6/24/22,2,Elliott Bay,10,7.4,9.75,7.195298675,11.1,7.178402754,2,4,-0.440785382,7.326337167,7.767123,0.214,11.088,51.714,0.747,0.385,
6/24/22,2,Elliott Bay,10,7.4,9.75,7.195298675,11.1,7.178402754,3,5,-0.185375042,5.072740765,5.258116,0.25,16.154,64.595,0.763,0.291,
6/24/22,2,Elliott Bay,10,7.4,9.75,7.195298675,11.1,7.178402754,4,7,-0.288375806,5.730780836,6.019157,0.179,11.722,65.467,0.752,0.265,
6/24/22,2,Elliott Bay,10,7.4,9.75,7.195298675,11.1,7.178402754,5,8,-0.267610724,7.336554879,7.604166,0.221,16.141,73.129,0.764,0.241,
6/24/22,2,Elliott Bay,10,7.4,9.75,7.195298675,11.1,7.178402754,6,9,-0.176043604,5.491854872,5.667898,0.208,14.489,69.579,0.768,0.346,
6/24/22,2,Elliott Bay,10,7.7,10,7.663795025,9.3,7.686259472,1,2,-0.181041606,5.631639393,5.812681,0.301,23.502,77.996,0.775,0.296,
6/24/22,2,Elliott Bay,10,7.7,10,7.663795025,9.3,7.686259472,2,4,-0.226377373,3.996613658,4.222991,0.328,23.701,72.195,0.779,0.206,
6/24/22,2,Elliott Bay,10,7.7,10,7.663795025,9.3,7.686259472,3,5,-0.060275091,4.182990005,4.243265,0.306,27.285,89.14,0.783,0.144,
6/24/22,2,Elliott Bay,10,7.7,10,7.663795025,9.3,7.686259472,4,7,-0.157250278,4.656251726,4.813502,0.329,27.487,83.599,0.786,0.143,
6/24/22,2,Elliott Bay,10,7.7,10,7.663795025,9.3,7.686259472,5,8,-0.169513263,5.390491831,5.560005,0.281,26.409,93.895,0.775,0.235,
6/24/22,2,Elliott Bay,10,7.7,10,7.663795025,9.3,7.686259472,6,9,-0.193769173,6.412185012,6.605954,0.281,25.312,89.921,0.755,0.379,
6/23/22,1,Elliott Bay,10,8,10.2,8.045059415,9.6,8.035791725,1,2,-0.317376787,4.230475982,4.547853,0.157,8.609,54.82,0.735,0.843,
6/23/22,1,Elliott Bay,10,8,10.2,8.045059415,9.6,8.035791725,2,4,-0.354108987,4.676355671,5.030465,0.24,8.941,37.294,0.753,0.944,
6/23/22,1,Elliott Bay,10,8,10.2,8.045059415,9.6,8.035791725,3,5,-0.224550354,4.233372067,4.457922,0.121,40.861,337.62,0.784,NA,NPQ value not recorded for 630
6/23/22,1,Elliott Bay,10,8,10.2,8.045059415,9.6,8.035791725,4,7,-0.355192509,7.600579526,7.955772,0.207,9.66,46.776,0.761,0.411,
6/23/22,1,Elliott Bay,10,8,10.2,8.045059415,9.6,8.035791725,5,8,-0.22919605,4.608161509,4.837358,0.307,8.302,27.012,0.76,0.502,
6/23/22,1,Elliott Bay,10,8,10.2,8.045059415,9.6,8.035791725,6,9,-0.301206552,5.038692623,5.339899,0.287,7.379,25.711,0.753,0.609,
7/22/22,3,Elliott Bay,15,7.4,15.35,7.385246453,15.3,7.361271618,1,NA,NA,NA,NA,0.195,11.543,59.278,0.743,0.432,Spin table broke; no corresponding resp data
7/22/22,3,Elliott Bay,15,7.4,15.35,7.385246453,15.3,7.361271618,2,NA,NA,NA,NA,0.235,14.125,60.232,0.736,0.547,Spin table broke; no corresponding resp data
7/22/22,3,Elliott Bay,15,7.4,15.35,7.385246453,15.3,7.361271618,3,NA,NA,NA,NA,0.196,13.72,70.032,0.746,0.648,Spin table broke; no corresponding resp data
7/22/22,3,Elliott Bay,15,7.4,15.35,7.385246453,15.3,7.361271618,4,NA,NA,NA,NA,0.147,11.811,80.219,0.725,0.645,Spin table broke; no corresponding resp data
7/22/22,3,Elliott Bay,15,7.4,15.35,7.385246453,15.3,7.361271618,5,NA,NA,NA,NA,0.211,16.685,79.23,0.745,0.844,Spin table broke; no corresponding resp data
7/22/22,3,Elliott Bay,15,7.4,15.35,7.385246453,15.3,7.361271618,6,NA,NA,NA,NA,0.231,11.479,49.649,0.757,0.614,Spin table broke; no corresponding resp data
8/16/22,2,Elliott Bay,15,7.4,15.2,7.343645405,14.8,7.348820794,7,2,-0.353630591,10.3426912,10.69632179,0.26,27.063,103.898,0.754,1.14,
8/16/22,2,Elliott Bay,15,7.4,15.2,7.343645405,14.8,7.348820794,8,4,-0.294799577,6.905586616,7.200386193,0.279,28.591,102.541,0.777,0.679,
8/16/22,2,Elliott Bay,15,7.4,15.2,7.343645405,14.8,7.348820794,9,5,-0.47353488,10.85209064,11.32562552,0.238,24.006,100.723,0.763,0.661,
8/16/22,2,Elliott Bay,15,7.4,15.2,7.343645405,14.8,7.348820794,10,7,-0.259500393,7.439317659,7.698818052,0.241,25.708,106.854,0.754,0.906,
8/16/22,2,Elliott Bay,15,7.4,15.2,7.343645405,14.8,7.348820794,11,8,-0.39680066,8.48331219,8.880112849,0.234,23.904,102.201,0.761,0.922,
8/16/22,2,Elliott Bay,15,7.4,15.2,7.343645405,14.8,7.348820794,12,9,-0.36458813,7.466913673,7.831501803,0.213,27.526,129.407,0.745,1.624,
7/22/22,3,Elliott Bay,15,7.7,14.8,7.67207134,15,7.665306649,1,2,-0.232412406,5.267340839,5.499753,0.279,14.1,50.549,0.732,0.505,
7/22/22,3,Elliott Bay,15,7.7,14.8,7.67207134,15,7.665306649,2,4,-0.157855193,4.619225064,4.77708,0.246,16.943,68.979,0.749,0.913,
7/22/22,3,Elliott Bay,15,7.7,14.8,7.67207134,15,7.665306649,3,5,-0.251684595,6.785363654,7.037048,0.258,15.876,61.55,0.744,0.564,
7/22/22,3,Elliott Bay,15,7.7,14.8,7.67207134,15,7.665306649,4,7,-0.215417045,5.058508292,5.273925,0.187,14.104,75.381,0.736,0.709,
7/22/22,3,Elliott Bay,15,7.7,14.8,7.67207134,15,7.665306649,5,8,-0.189210852,6.044452364,6.233663,0.22,13.749,62.377,0.734,0.792,
7/22/22,3,Elliott Bay,15,7.7,14.8,7.67207134,15,7.665306649,6,9,-0.216012375,6.205965166,6.421978,0.16,18.449,115.523,0.731,0.824,
7/22/22,3,Elliott Bay,15,8,14.5,8.02609794,14.8,8.063748999,1,2,-0.147342322,4.435584748,4.582927,0.241,12.368,51.397,0.745,0.426,forgot to lower O2; was about 100%
7/22/22,3,Elliott Bay,15,8,14.5,8.02609794,14.8,8.063748999,2,4,-0.212837444,5.41232055,5.625158,0.203,13.461,66.261,0.735,0.605,
7/22/22,3,Elliott Bay,15,8,14.5,8.02609794,14.8,8.063748999,3,5,-0.255171294,8.296075575,8.551247,0.188,11.874,63.045,0.74,0.743,
7/22/22,3,Elliott Bay,15,8,14.5,8.02609794,14.8,8.063748999,4,7,-0.13107051,4.758292088,4.889363,0.245,13.99,57.002,0.75,0.617,
7/22/22,3,Elliott Bay,15,8,14.5,8.02609794,14.8,8.063748999,5,8,-0.100227227,5.440424371,5.540652,0.264,9.644,36.471,0.731,0.755,
7/22/22,3,Elliott Bay,15,8,14.5,8.02609794,14.8,8.063748999,6,9,0.016667395,5.941850766,5.925183,0.387,7.979,20.643,0.763,0.462,
8/15/22,1,Elliott Bay,20,7.4,20,7.350028928,20,7.366964732,1,2,-0.517805457,8.247305466,8.765110923,0.272,45.293,166.335,0.736,1.155,
8/15/22,1,Elliott Bay,20,7.4,20,7.350028928,20,7.366964732,2,4,-0.459160705,7.432699225,7.89185993,0.203,46.194,227.383,0.73,2.109,
8/15/22,1,Elliott Bay,20,7.4,20,7.350028928,20,7.366964732,3,5,-0.46316901,8.445589304,8.908758314,0.256,42.439,166.083,0.727,1.87,
8/15/22,1,Elliott Bay,20,7.4,20,7.350028928,20,7.366964732,4,7,-0.656926937,7.970624032,8.627550969,0.251,39.471,157.239,0.727,1.925,
8/15/22,1,Elliott Bay,20,7.4,20,7.350028928,20,7.366964732,5,8,-0.399128256,6.189432878,6.588561134,0.249,41.368,166.23,0.741,2.193,
8/15/22,1,Elliott Bay,20,7.4,20,7.350028928,20,7.366964732,6,9,-0.575401009,8.201038905,8.776439914,0.235,29.531,125.447,0.718,1.658,
8/15/22,1,Elliott Bay,20,7.7,19.8,7.670670528,20.3,7.649626167,1,2,-0.742173067,11.52374442,12.26591749,0.223,33.227,149.142,0.723,1.346,
8/15/22,1,Elliott Bay,20,7.7,19.8,7.670670528,20.3,7.649626167,2,4,-0.702770947,8.158009283,8.86078023,0.243,37.868,156.045,0.675,2.15,
8/15/22,1,Elliott Bay,20,7.7,19.8,7.670670528,20.3,7.649626167,3,5,-0.647684814,11.27496645,11.92265127,0.21,35.175,167.778,0.713,1.653,
8/15/22,1,Elliott Bay,20,7.7,19.8,7.670670528,20.3,7.649626167,4,7,-0.503048752,6.158999442,6.662048194,0.264,32.093,121.421,0.724,2.033,
8/15/22,1,Elliott Bay,20,7.7,19.8,7.670670528,20.3,7.649626167,5,8,-0.76811308,7.555629612,8.323742693,0.223,44.209,198.55,0.702,2.478,
8/15/22,1,Elliott Bay,20,7.7,19.8,7.670670528,20.3,7.649626167,6,9,-0.542402074,7.212303222,7.754705295,0.216,42.365,196.479,0.692,3.16,
8/15/22,1,Elliott Bay,20,8,19.6,8.010274473,20.4,7.989769562,1,2,-0.688497865,8.454799494,9.143297358,0.212,30.026,141.661,0.698,2.124,
8/15/22,1,Elliott Bay,20,8,19.6,8.010274473,20.4,7.989769562,2,4,-0.473364317,4.843734563,5.31709888,0.227,43.26,190.859,0.722,2.187,
8/15/22,1,Elliott Bay,20,8,19.6,8.010274473,20.4,7.989769562,3,5,-0.674317787,12.47771873,13.15203651,0.215,33.063,153.671,0.721,2.099,
8/15/22,1,Elliott Bay,20,8,19.6,8.010274473,20.4,7.989769562,4,7,-0.718986712,8.368209436,9.087196148,0.203,34.347,169.558,0.698,2.468,
8/15/22,1,Elliott Bay,20,8,19.6,8.010274473,20.4,7.989769562,5,8,-0.676387468,8.453124764,9.129512231,0.214,28.053,131.334,0.731,1.484,
8/15/22,1,Elliott Bay,20,8,19.6,8.010274473,20.4,7.989769562,6,9,-0.81223473,7.412280673,8.224515403,0.233,16.485,70.747,0.705,2.375,
7/21/22,2,Elliott Bay,25,7.4,25.5,7.35240151,25.15,7.323143319,1,2,-0.613078518,6.848945243,7.462024,0.214,29.194,136.411,0.651,1.808,
7/21/22,2,Elliott Bay,25,7.4,25.5,7.35240151,25.15,7.323143319,2,4,-0.586977467,8.525967808,9.112945,0.21,19.965,95.03,0.688,1.943,
7/21/22,2,Elliott Bay,25,7.4,25.5,7.35240151,25.15,7.323143319,3,5,-0.579296873,7.539009656,8.118307,0.214,23.301,108.972,0.645,2.696,
7/21/22,2,Elliott Bay,25,7.4,25.5,7.35240151,25.15,7.323143319,4,7,-0.574928786,6.659565504,7.234494,0.228,27.78,121.977,0.654,1.78,
7/21/22,2,Elliott Bay,25,7.4,25.5,7.35240151,25.15,7.323143319,5,8,-0.634609162,6.286625492,6.921235,0.22,28.495,129.345,0.644,2.314,
7/21/22,2,Elliott Bay,25,7.4,25.5,7.35240151,25.15,7.323143319,6,9,-0.484526047,5.896776937,6.381303,0.221,27.108,122.914,0.679,1.951,
7/21/22,2,Elliott Bay,25,7.7,24.3,7.639953591,24.9,7.662243301,1,2,-0.479178886,4.612170509,5.091349,0.21,17.056,81.346,0.677,1.629,
7/21/22,2,Elliott Bay,25,7.7,24.3,7.639953591,24.9,7.662243301,2,4,-0.537164596,8.854851918,9.392017,0.138,21.554,156.238,0.652,0.763,
7/21/22,2,Elliott Bay,25,7.7,24.3,7.639953591,24.9,7.662243301,3,5,-0.564830603,5.258497916,5.823329,0.196,15.987,81.51,0.663,2.099,
7/21/22,2,Elliott Bay,25,7.7,24.3,7.639953591,24.9,7.662243301,4,7,-0.425828925,7.685562835,8.111392,0.198,20.225,101.962,0.65,2.429,
7/21/22,2,Elliott Bay,25,7.7,24.3,7.639953591,24.9,7.662243301,5,8,-0.73538843,7.897115953,8.632504,0.203,19.166,94.537,0.631,3.184,
7/21/22,2,Elliott Bay,25,7.7,24.3,7.639953591,24.9,7.662243301,6,9,-0.481411947,5.623676903,6.105089,0.208,20.458,98.386,0.644,2.053,
7/21/22,2,Elliott Bay,25,8,24.9,7.959372312,24.8,7.999361353,1,2,-0.631749896,7.866451502,8.498201,0.168,18.678,110.973,0.65,1.315,
7/21/22,2,Elliott Bay,25,8,24.9,7.959372312,24.8,7.999361353,2,4,-0.539288701,6.409888868,6.949178,0.157,17.153,109.119,0.672,1.43,
7/21/22,2,Elliott Bay,25,8,24.9,7.959372312,24.8,7.999361353,3,5,-0.593918864,9.279184485,9.873103,0.179,13.957,77.884,0.615,1.674,
7/21/22,2,Elliott Bay,25,8,24.9,7.959372312,24.8,7.999361353,4,7,-0.47023411,3.606411472,4.076646,0.259,14.251,55.079,0.671,2.474,
7/21/22,2,Elliott Bay,25,8,24.9,7.959372312,24.8,7.999361353,5,8,-0.651789565,4.600187237,5.251977,0.238,14.984,62.876,0.641,3.709,
7/21/22,2,Elliott Bay,25,8,24.9,7.959372312,24.8,7.999361353,6,9,-0.571433566,5.859168219,6.430602,0.28,13.079,46.748,0.663,2.144,
7/20/22,1,Elliott Bay,30,7.4,30,7.326025361,29.8,7.311484797,1,2,-0.893754476,-0.865884124,0.02787,0.141,20.619,146.594,0.467,0.021,
7/20/22,1,Elliott Bay,30,7.4,30,7.326025361,29.8,7.311484797,2,4,-0.785094516,-0.898218821,-0.11312,0.179,22.68,126.443,0.611,0.24,
7/20/22,1,Elliott Bay,30,7.4,30,7.326025361,29.8,7.311484797,3,5,-1.006185677,-0.958950681,0.047235,0.176,20.44,116.378,0.53,0.124,
7/20/22,1,Elliott Bay,30,7.4,30,7.326025361,29.8,7.311484797,4,7,-0.717295319,-0.604665214,0.11263,0.176,20.329,115.333,0.526,0.037,
7/20/22,1,Elliott Bay,30,7.4,30,7.326025361,29.8,7.311484797,5,8,-0.789210692,-0.667720223,0.12149,0.162,21.201,130.542,0.502,-0.05,
7/20/22,1,Elliott Bay,30,7.4,30,7.326025361,29.8,7.311484797,6,9,-0.836262338,-0.760663883,0.075598,0.16,19.462,121.846,0.49,0.08,
7/20/22,1,Elliott Bay,30,7.7,29.3,7.623145724,29.1,7.601470482,1,2,-0.996173321,-1.107476139,-0.1113,0.165,20.17,122.344,0.501,0.072,
7/20/22,1,Elliott Bay,30,7.7,29.3,7.623145724,29.1,7.601470482,2,4,-0.773137681,-0.737041773,0.036096,0.177,22.121,124.767,0.528,0.073,
7/20/22,1,Elliott Bay,30,7.7,29.3,7.623145724,29.1,7.601470482,3,5,-1.106542252,-0.933855813,0.172686,0.167,16.252,97.561,0.579,0.088,
7/20/22,1,Elliott Bay,30,7.7,29.3,7.623145724,29.1,7.601470482,4,7,-0.949740512,-0.936583181,0.013157,0.173,18.693,107.743,0.578,0.052,
7/20/22,1,Elliott Bay,30,7.7,29.3,7.623145724,29.1,7.601470482,5,8,-1.024207498,-0.801872285,0.222335,0.176,17.934,101.801,0.592,0.039,
7/20/22,1,Elliott Bay,30,7.7,29.3,7.623145724,29.1,7.601470482,6,9,-1.401986147,-1.776862111,-0.37488,0.173,14.819,85.717,0.516,0.018,
7/20/22,1,Elliott Bay,30,8,29.2,7.928433762,29.8,7.971139016,1,2,-0.801104686,-0.576306312,0.224798,0.172,17.104,99.5,0.495,0.075,
7/20/22,1,Elliott Bay,30,8,29.2,7.928433762,29.8,7.971139016,2,4,-1.034301739,-0.571472734,0.462829,0.131,12.883,98.547,0.475,0.018,
7/20/22,1,Elliott Bay,30,8,29.2,7.928433762,29.8,7.971139016,3,5,-0.944181125,-0.477324827,0.466856,0.17,16.161,95.097,0.526,0.106,
7/20/22,1,Elliott Bay,30,8,29.2,7.928433762,29.8,7.971139016,4,7,-0.833303282,-0.595803721,0.2375,0.171,14.714,86.165,0.534,0.138,
7/20/22,1,Elliott Bay,30,8,29.2,7.928433762,29.8,7.971139016,5,8,-0.858667418,-0.600805497,0.257862,0.166,14.02,84.414,0.432,0.047,
7/20/22,1,Elliott Bay,30,8,29.2,7.928433762,29.8,7.971139016,6,9,-1.221995035,-1.095179984,0.126815,0.167,17.873,106.928,0.464,-0.036,
6/30/22,3,Whidbey Island,5,7.4,8.4,7.268985447,8.1,7.19115294,1,2,-0.18929407,3.354977368,3.544271438,0.301,13.079,43.513,0.755,0.275,
6/30/22,3,Whidbey Island,5,7.4,8.4,7.268985447,8.1,7.19115294,2,4,-0.236111418,1.862584389,2.098695807,0.243,18.189,74.813,0.762,0.141,
6/30/22,3,Whidbey Island,5,7.4,8.4,7.268985447,8.1,7.19115294,3,5,-0.276543209,6.174574104,6.451117313,0.279,13.41,48.067,0.728,0.175,
6/30/22,3,Whidbey Island,5,7.4,8.4,7.268985447,8.1,7.19115294,4,7,-0.180824869,2.287756023,2.468580893,0.268,12.76,47.699,0.773,0.288,
6/30/22,3,Whidbey Island,5,7.4,8.4,7.268985447,8.1,7.19115294,5,8,-0.196030145,5.334879868,5.530910013,0.198,11.062,56,0.781,0.139,
6/30/22,3,Whidbey Island,5,7.4,8.4,7.268985447,8.1,7.19115294,6,9,-0.26697169,5.136684685,5.403656375,0.204,8.052,39.472,0.776,0.258,
6/30/22,3,Whidbey Island,5,7.7,8.2,7.812760901,9.2,7.581164771,1,2,-0.376023665,1.821021303,2.197044968,0.358,13.14,36.737,0.753,0.113,
6/30/22,3,Whidbey Island,5,7.7,8.2,7.812760901,9.2,7.581164771,2,4,-0.276909199,1.261790099,1.538699298,0.349,11.56,33.131,0.763,0.31,
6/30/22,3,Whidbey Island,5,7.7,8.2,7.812760901,9.2,7.581164771,3,5,-0.214836902,1.905955204,2.120792105,0.268,13.007,48.486,0.762,0.137,
6/30/22,3,Whidbey Island,5,7.7,8.2,7.812760901,9.2,7.581164771,4,7,-0.25750026,0.859999536,1.117499796,0.285,10.322,36.234,0.759,0.13,
6/30/22,3,Whidbey Island,5,7.7,8.2,7.812760901,9.2,7.581164771,5,8,-0.22972631,2.918359925,3.148086235,0.324,15.844,48.901,0.778,0.198,
6/30/22,3,Whidbey Island,5,7.7,8.2,7.812760901,9.2,7.581164771,6,9,-0.15477055,1.655345604,1.810116154,0.23,11.722,51.066,0.772,0.542,Was only in trmt for 5 mins before PAM
6/29/22,2,Whidbey Island,5,8,7.2,8.038461495,7.4,8.017533404,1,2,-0.342035948,3.81135767,4.153393618,0.273,15.456,56.604,0.751,0.487,
6/29/22,2,Whidbey Island,5,8,7.2,8.038461495,7.4,8.017533404,2,4,-0.278398048,2.430293924,2.708691972,0.265,9.688,36.56,0.763,0.33,
6/29/22,2,Whidbey Island,5,8,7.2,8.038461495,7.4,8.017533404,3,5,-0.316135925,1.740839385,2.05697531,2.388,9,3.769,0.756,0.218,
6/29/22,2,Whidbey Island,5,8,7.2,8.038461495,7.4,8.017533404,4,7,-0.240667837,2.99760716,3.238274997,1.846,7.2,3.901,0.768,0.194,
6/29/22,2,Whidbey Island,5,8,7.2,8.038461495,7.4,8.017533404,5,8,-0.330900937,2.339763356,2.670664292,2.209,7.7,3.486,0.768,0.334,
6/29/22,2,Whidbey Island,5,8,7.2,8.038461495,7.4,8.017533404,6,9,-0.230176197,3.235447213,3.465623411,0.358,9.628,26.91,0.754,0.418,
6/28/22,1,Whidbey Island,10,7.4,10.6,7.359550924,10.05,7.283083586,1,2,-0.533428551,6.4333491,6.966777651,0.228,19.082,83.702,0.763,0.308,
6/28/22,1,Whidbey Island,10,7.4,10.6,7.359550924,10.05,7.283083586,2,4,-0.393257186,6.365545744,6.758802931,0.236,16.625,70.518,0.769,0.647,
6/28/22,1,Whidbey Island,10,7.4,10.6,7.359550924,10.05,7.283083586,3,5,-0.325252652,6.19459284,6.519845491,0.262,16.199,61.767,0.752,0.565,
6/28/22,1,Whidbey Island,10,7.4,10.6,7.359550924,10.05,7.283083586,4,7,-0.715420784,6.762235253,7.477656037,0.161,12.346,76.912,0.748,0.451,
6/28/22,1,Whidbey Island,10,7.4,10.6,7.359550924,10.05,7.283083586,5,8,-0.560243204,7.489857048,8.050100252,0.17,12.287,72.215,0.747,0.835,
6/28/22,1,Whidbey Island,10,7.4,10.6,7.359550924,10.05,7.283083586,6,9,-0.313649009,6.701781007,7.015430016,0.21,12.277,58.394,0.772,0.425,
6/29/22,2,Whidbey Island,10,7.7,9.1,7.808088671,9.7,7.424990071,1,2,-0.196854884,2.928923634,3.125778519,0.334,12.293,36.819,0.74,0.444,
6/29/22,2,Whidbey Island,10,7.7,9.1,7.808088671,9.7,7.424990071,2,4,-0.221759617,4.801697258,5.023456875,0.298,12.981,43.541,0.75,0.573,
6/29/22,2,Whidbey Island,10,7.7,9.1,7.808088671,9.7,7.424990071,3,5,-0.182269472,3.000612797,3.182882269,0.196,11.99,61.295,0.763,0.612,
6/29/22,2,Whidbey Island,10,7.7,9.1,7.808088671,9.7,7.424990071,4,7,-0.331445999,3.858205508,4.189651506,0.403,9.667,23.96,0.739,0.499,
6/29/22,2,Whidbey Island,10,7.7,9.1,7.808088671,9.7,7.424990071,5,8,-0.266532044,4.131119121,4.397651165,0.248,10.248,41.264,0.765,0.231,
6/29/22,2,Whidbey Island,10,7.7,9.1,7.808088671,9.7,7.424990071,6,9,-0.185245094,4.729309138,4.914554231,0.309,13.741,44.511,0.775,0.41,
6/28/22,1,Whidbey Island,10,8,9.8,8.047587855,10.2,8.04962613,1,2,-0.292103088,3.007458276,3.299561365,0.202,16.49,81.543,0.74,1.454,
6/28/22,1,Whidbey Island,10,8,9.8,8.047587855,10.2,8.04962613,2,4,-0.410984532,2.651591385,3.062575917,0.249,14.983,60.057,0.741,0.978,
6/28/22,1,Whidbey Island,10,8,9.8,8.047587855,10.2,8.04962613,3,5,-0.43488383,4.124292667,4.559176497,0.266,7.974,29.967,0.76,0.984,
6/28/22,1,Whidbey Island,10,8,9.8,8.047587855,10.2,8.04962613,4,7,-0.278089409,2.966400658,3.244490067,0.179,13.332,74.683,0.76,1.358,
6/28/22,1,Whidbey Island,10,8,9.8,8.047587855,10.2,8.04962613,5,8,-0.466848194,5.108456948,5.575305142,0.219,10.286,46.975,0.768,0.91,
6/28/22,1,Whidbey Island,10,8,9.8,8.047587855,10.2,8.04962613,6,9,-0.319784049,2.621000148,2.940784197,0.218,7.282,33.329,0.747,0.812,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,14.9,7.333057113,1,2,-0.251042798,6.574917872,6.82596067,0.257,29.724,115.579,0.769,0.598,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,14.9,7.333057113,2,4,-0.285416956,6.463876169,6.749293124,0.251,27.777,110.522,0.771,0.813,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,14.9,7.333057113,3,7,-0.260663898,8.258530783,8.519194681,0.212,28.256,132.971,0.755,0.827,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,14.9,7.333057113,4,8,-0.350546752,5.985151678,6.33569843,0.268,28.053,104.716,0.766,0.89,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,14.9,7.333057113,5,2,-0.283249906,6.162157599,6.445407505,0.309,22.676,73.493,0.772,0.497,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,14.9,7.333057113,6,4,-0.23203002,5.479380193,5.711410213,0.269,25.096,93.328,0.765,0.534,
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,15,7.658173086,7,7,-0.263292413,NA,NA,0.246,29.523,119.875,0.755,0.758,Respirometer didn't record channel 7 for some reason
7/31/22,3,Whidbey Island,15,7.4,15.4,7.358228084,15,7.658173086,8,8,-0.186179212,6.807160505,6.993339718,0.252,25.547,101.298,0.776,0.566,
7/16/22,3,Whidbey Island,15,7.7,15.5,7.65978448,15,7.658173086,1,2,-0.184413763,3.302142745,3.486556509,0.251,19.637,78.378,0.724,0.915,
7/16/22,3,Whidbey Island,15,7.7,15.5,7.65978448,15,7.658173086,2,4,-0.168367145,4.362821115,4.53118826,0.307,17.725,57.667,0.758,0.418,
